Image,Severity,Method,MSE,PSNR (dB),SSIM,Coherence,Match score (%),Runtime (s),Ridge endings,Bifurcations
100__M_Left_middle_finger.BMP,0.75,Degraded input,0.046722813277117706,13.304710153403427,0.35951745683521324,0.45195692777633667,3.3333333333333335,0.0,117,39
100__M_Left_middle_finger.BMP,0.75,Global HE,0.02805567422153795,15.51979290062462,0.5455608326771035,0.5902785658836365,9.666666666666666,0.00612730000011652,117,39
100__M_Left_middle_finger.BMP,0.75,M1 CLAHE,0.0725857315226254,11.39148741972173,0.47634848786720146,0.46173688769340515,1.6666666666666667,0.005662200000188022,117,39
100__M_Left_middle_finger.BMP,0.75,M1 Median + CLAHE,0.05799150424890706,12.366356258866038,0.5725797997761578,0.5762279033660889,4.0,0.008593200000177603,117,39
100__M_Left_middle_finger.BMP,0.75,M1 Wiener + CLAHE,0.05241862844246524,12.80514346755724,0.5609416446584276,0.6651174426078796,3.3333333333333335,0.008987700000034238,117,39
100__M_Left_middle_finger.BMP,0.75,M1 CLAHE + Unsharp,0.0866019977511531,10.624720894804039,0.4029992907916943,0.3861914873123169,0.0,0.006869599999845377,117,39
100__M_Left_middle_finger.BMP,0.75,M1 Wiener + CLAHE + Unsharp,0.05137519633836094,12.892465053883061,0.5639698069985889,0.6459100842475891,2.6666666666666665,0.009555300000101852,117,39
100__M_Left_middle_finger.BMP,0.75,Gabor,0.08822468877334802,10.544098650082992,0.3745170202725528,0.4793400168418884,0.3333333333333333,0.47361410000030446,117,39
100__M_Left_middle_finger.BMP,0.75,Hybrid,0.052239684165132645,12.819994574174146,0.5252963556946028,0.6435558795928955,2.6666666666666665,0.47159990000000107,117,39
100__M_Left_ring_finger.BMP,0.35,Degraded input,0.015466220776917025,18.106157946550315,0.7298089802646358,0.7240442037582397,36.666666666666664,0.0,114,39
100__M_Left_ring_finger.BMP,0.35,Global HE,0.011363614465984672,19.44483509033553,0.7697472881198376,0.7490112781524658,35.333333333333336,0.006326700000499841,114,39
100__M_Left_ring_finger.BMP,0.35,M1 CLAHE,0.05193886497475818,12.845075452840241,0.6810037148653735,0.6962262988090515,9.666666666666666,0.005789100000583858,114,39
100__M_Left_ring_finger.BMP,0.35,M1 Median + CLAHE,0.04204879018786634,13.762464950454325,0.7116209555014712,0.7229911684989929,9.0,0.008702699999957986,114,39
100__M_Left_ring_finger.BMP,0.35,M1 Wiener + CLAHE,0.03732878456910531,14.27956150537776,0.7141147446090063,0.7443675994873047,5.333333333333333,0.008601700000326673,114,39
100__M_Left_ring_finger.BMP,0.35,M1 CLAHE + Unsharp,0.05570274971612111,12.54123365740764,0.6559000952215844,0.6708161234855652,7.333333333333333,0.007095699999808858,114,39
100__M_Left_ring_finger.BMP,0.35,M1 Wiener + CLAHE + Unsharp,0.03458678030236205,14.610898647563689,0.7248134234149172,0.7412740588188171,6.666666666666667,0.010067700000035984,114,39
100__M_Left_ring_finger.BMP,0.35,Gabor,0.06462149018310519,11.896230312945814,0.5784912199853237,0.6939588785171509,3.0,0.4857447000003958,114,39
100__M_Left_ring_finger.BMP,0.35,Hybrid,0.03594299243281436,14.443857685470704,0.6993749885482067,0.7389211654663086,4.333333333333333,0.481842900000629,114,39
100__M_Left_thumb_finger.BMP,0.55,Degraded input,0.02941291993819025,15.314618592026854,0.5651442030550434,0.5539150834083557,11.0,0.0,206,66
100__M_Left_thumb_finger.BMP,0.55,Global HE,0.021070904192549724,16.76316827590317,0.7115361398765314,0.6192182302474976,13.0,0.005943600000136939,206,66
100__M_Left_thumb_finger.BMP,0.55,M1 CLAHE,0.06636002334473784,11.780934698675527,0.6468377363153061,0.5647563338279724,4.666666666666667,0.005491999999321706,206,66
100__M_Left_thumb_finger.BMP,0.55,M1 Median + CLAHE,0.05692611751840714,12.44688434980473,0.6959484331562427,0.6152458786964417,4.0,0.008905299999241834,206,66
